forecast_date,year,state,seat_number,r_prob,r_pct_05,r_avg,r_pct_95
2026-04-19,2026,Massachusetts,4,1e-4,0.266428355,0.339683583004,0.41246548799999994
2026-04-19,2026,Massachusetts,5,0,0.154114717,0.2300353517712,0.30446897800000006
2026-04-19,2026,Massachusetts,6,0.0051,0.3121002865,0.385926387034,0.460231195
2026-04-19,2026,Massachusetts,7,0,0.0784599053,0.15186367639585,0.22510378699999997
2026-04-19,2026,Massachusetts,8,0,0.2372285095,0.311789273736,0.38551022849999994
2026-04-19,2026,Massachusetts,9,0.0134,0.3258130435,0.40095411216,0.474989444
2026-04-19,2026,Michigan,1,0.9867,0.5278919765,0.603568615885,0.6803669615
2026-04-19,2026,Michigan,2,0.9996,0.569467701,0.645528673417,0.723243165
2026-04-19,2026,Michigan,3,0.0261,0.33994632750000003,0.413317677329,0.4863600825
2026-04-19,2026,Michigan,4,0.7881,0.4645017536910346,0.5335222198944102,0.6019284023839061
2026-04-19,2026,Michigan,5,0.9975,0.5574496925,0.634586373008,0.7121627070000001
2026-04-19,2026,Michigan,6,2e-4,0.26604719299999996,0.339421675088,0.413676408
2026-04-19,2026,Michigan,7,0.5338,0.43452955605630605,0.5037168835781446,0.5722318243912425
2026-04-19,2026,Michigan,8,0.1155,0.375721411,0.448437524653,0.5216834779999999
2026-04-19,2026,Michigan,9,0.9998,0.5799124364999999,0.656597957366,0.732905455
2026-04-19,2026,Michigan,10,0.7128,0.45518416886266255,0.5225150190827939,0.588636190848031
2026-04-19,2026,Michigan,11,0.0103,0.32056162250000003,0.395112266653,0.4696635625
2026-04-19,2026,Michigan,12,0,0.1927969875,0.2648648461674,0.33922544799999993
2026-04-19,2026,Michigan,13,0,0.1822905985,0.2564268506417,0.330730166
2026-04-19,2026,Minnesota,1,0.943,0.49705524710217214,0.5665966550622407,0.6361630703074683
2026-04-19,2026,Minnesota,2,0.0901,0.3640386765,0.438838473891,0.5125635085
2026-04-19,2026,Minnesota,3,0.0011,0.28888166600000004,0.362347638738,0.43596000499999993
2026-04-19,2026,Minnesota,4,0,0.21931847650000005,0.291640863567,0.3661958304999999
2026-04-19,2026,Minnesota,5,0,0.1131466515,0.18727639157601,0.2603024925
