party,margin_diff,seats,prob
rep,0.07,50,0.0066
rep,0.07,51,0.0446
rep,0.07,52,0.1373
rep,0.07,53,0.2509
rep,0.07,54,0.2731
rep,0.07,55,0.1788
rep,0.07,56,0.0802
rep,0.07,57,0.0235
rep,0.07,58,0.0039
rep,0.07,59,4e-4
rep,0.07,60,1e-4
rep,0.07999999999999999,48,1e-4
rep,0.07999999999999999,49,3e-4
rep,0.07999999999999999,50,0.0025
rep,0.07999999999999999,51,0.0202
rep,0.07999999999999999,52,0.088
rep,0.07999999999999999,53,0.1921
rep,0.07999999999999999,54,0.2738
rep,0.07999999999999999,55,0.2332
rep,0.07999999999999999,56,0.1339
rep,0.07999999999999999,57,0.0452
rep,0.07999999999999999,58,0.0097
rep,0.07999999999999999,59,0.001
rep,0.09,50,0.0012
rep,0.09,51,0.008
rep,0.09,52,0.0501
rep,0.09,53,0.14
rep,0.09,54,0.2434
rep,0.09,55,0.2683
rep,0.09,56,0.185
rep,0.09,57,0.0811
rep,0.09,58,0.0188
rep,0.09,59,0.0039
rep,0.09,60,2e-4
rep,0.1,50,3e-4
rep,0.1,51,0.0035
rep,0.1,52,0.0226
rep,0.1,53,0.0919
rep,0.1,54,0.1983
rep,0.1,55,0.2757
rep,0.1,56,0.2375
rep,0.1,57,0.1243
rep,0.1,58,0.0384
rep,0.1,59,0.0063
rep,0.1,60,0.0011
rep,0.1,61,1e-4
dem,-0.1,49,9e-4
dem,-0.1,50,0.0046
dem,-0.1,51,0.0198
dem,-0.1,52,0.0702
dem,-0.1,53,0.1718
dem,-0.1,54,0.3128
dem,-0.1,55,0.2438
dem,-0.1,56,0.1168
dem,-0.1,57,0.0429
dem,-0.1,58,0.0131
dem,-0.1,59,0.003
dem,-0.1,60,1e-4
dem,-0.1,61,2e-4
dem,-0.09000000000000001,48,4e-4
dem,-0.09000000000000001,49,0.0012
dem,-0.09000000000000001,50,0.0101
dem,-0.09000000000000001,51,0.0373
dem,-0.09000000000000001,52,0.1026
dem,-0.09000000000000001,53,0.2214
dem,-0.09000000000000001,54,0.3036
dem,-0.09000000000000001,55,0.2067
dem,-0.09000000000000001,56,0.0853
dem,-0.09000000000000001,57,0.0248
dem,-0.09000000000000001,58,0.0055
dem,-0.09000000000000001,59,0.001
dem,-0.09000000000000001,60,1e-4
dem,-0.08,46,1e-4
dem,-0.08,47,1e-4
dem,-0.08,48,4e-4
dem,-0.08,49,0.0045
dem,-0.08,50,0.0175
dem,-0.08,51,0.0585
dem,-0.08,52,0.1427
dem,-0.08,53,0.2502
dem,-0.08,54,0.2945
dem,-0.08,55,0.1602
dem,-0.08,56,0.0552
dem,-0.08,57,0.0129
dem,-0.08,58,0.0027
dem,-0.08,59,5e-4
dem,-0.07,47,2e-4
dem,-0.07,48,0.0019
dem,-0.07,49,0.0089
dem,-0.07,50,0.0331
dem,-0.07,51,0.0916
dem,-0.07,52,0.1961
dem,-0.07,53,0.2636
dem,-0.07,54,0.2493
dem,-0.07,55,0.1143
dem,-0.07,56,0.0327
dem,-0.07,57,0.0068
dem,-0.07,58,0.0013
dem,-0.07,59,2e-4
dem,-0.060000000000000005,47,7e-4
